	Unnamed: 0	platform	phase/arg_situation	method	adressee, reference	function	intent	impl_expl	pos_neg	easy translation	User	topic	link	connected	utterance	Effekt	lecture	praise	insinuation	dissence	concession	td-type
1035		Zeit	opening		person						Tordenskjold	politics	https://www.zeit.de/politik/deutschland/2019-12/bjoern-hoecke-rechtsextremismus-afd-politiker-thueringen		Man muss Höcke nur sehr genau zuhören, dann offenbart sich schnell, dass sich unter einer dünnen demokratischen Firnis ein zutiefst rassistisches Weltbild verbirgt	concession						ml
1036			argumentation		argument						Ghede	politics	https://www.zeit.de/politik/deutschland/2019-12/bjoern-hoecke-rechtsextremismus-afd-politiker-thueringen		"Schon. In diesem Fall glaube ich allerdings eher, dass der Begriff ""Faschist"" vielleicht sogar kontraproduktiv ist"	concession						ml
1037			confrontation								Daniel R	media	https://www.youtube.com/watch?v=mPe4uS9xZYI&feature=youtu.be		Größten Respekt für die hervorragend umfangreiche und tiefgehende Recherche	praise						ml
1038			confrontation								Daniel R	media	https://www.youtube.com/watch?v=mPe4uS9xZYI&feature=youtu.be		Toller Beitrag!	praise						ml
1039											Arvid Jonal	media	https://www.youtube.com/watch?v=mPe4uS9xZYI&feature=youtu.be		Sehr interessant und aufklärend, man sieht, wie viel Arbeit ihr in dieses Projekt gesteckt habt	praise						ml
1040											Arvid Jonal	media	https://www.youtube.com/watch?v=mPe4uS9xZYI&feature=youtu.be		Hut ab dafür!	praise						ml
1041			confrontation								Xx Y	media			Euer Illustrator ist echt ein Genie	praise						ml
1042		achgut	confrontation								S. v. Belino	economy	https://www.achgut.com/artikel/afrika_warum_der_schokoladenanbau_nicht_boese_ist		Vielen Dank, werter Herr Seitz, für einen weiteren Artikel “mit Bodenhaftung”	praise						ml
1043			conclusion								S. v. Belino	economy	https://www.achgut.com/artikel/afrika_warum_der_schokoladenanbau_nicht_boese_ist		Ihre Einschätzung dürfte die Sachlage absolut realistisch darstellen	praise						ml
1044			confrontation								Andreas Stüve	economy	https://www.achgut.com/artikel/afrika_warum_der_schokoladenanbau_nicht_boese_ist		Ein klarer Beitrag, von jemandem, der sich bestens auskennt	praise						ml
1045											erhier	media	https://www.youtube.com/watch?v=lCeOvWqeTPg		Toller Gesprächsaufbau, dass man erstmal den Mensch kennen lernt (mit Emotionen) und dann erst auf seine Rolle bzw. Fachkenntnisse eingeh	praise						ml
1046											fblio	media	https://www.youtube.com/watch?v=lCeOvWqeTPg		Ein erstaunlich persönliches und emotionales Interview.	praise						ml
1047											Lars	media	https://www.youtube.com/watch?v=lCeOvWqeTPg		Was ich ja an Tilos Interviews mag, ist dass man bei den meisten Leuten raus geht und ein wesentlich differenzierteres Bild von ihnen hat	praise						ml
1048											Lars	media	https://www.youtube.com/watch?v=lCeOvWqeTPg		Hat dieses Interview mal wieder geschafft	praise						ml
1049											Markus Pfeisinger	media	https://www.youtube.com/watch?v=lCeOvWqeTPg		Grandios. Für mich persönlich das mit Abstand beste Interview, das Ihr bisher gemacht habt	praise						ml
1050											p72net	media	https://www.youtube.com/watch?v=lCeOvWqeTPg		wie sehr ich diesen moment ab 13:40 schätze...	praise						ml
1051											Robert Schrader	media	https://www.youtube.com/watch?v=lCeOvWqeTPg		Tilo hat so eine Gabe und die Fähigkeit seine Interwiepartner dazu zu bringen sich von ihrer menschlichsten und ehrlichsten Seite zu zeigen. das ist total faszinierend.	praise						ml
1052		Zeit	argumentation	evaluation							mit schal	environment	https://www.zeit.de/arbeit/2020-01/bauernprotest-agrarpolitik-biohof-existenzgruendung-landwirte		Ist ja in Ordnung, besser als: Klimaschutz ist mir egal, weil die Folgen durch öffentliche Mittel ausgeglichen werden	concession	0.15	0,61	0.16	0,23	0,86	ml
1053		Zeit	confrontation								atlantik	environment	https://www.zeit.de/arbeit/2020-01/bauernprotest-agrarpolitik-biohof-existenzgruendung-landwirte		Das ist ja hoffentlich nur ein Schreibfehler	concession	0.52	0,1	0.7	0,72	0,8	ml
1054		Zeit									Hamburg im Herzen	environment	https://www.zeit.de/arbeit/2020-01/bauernprotest-agrarpolitik-biohof-existenzgruendung-landwirte		Nein, kein Schreibfehler	dissence	0.6	0,08	0.1	0,78	0,34	ml
1055		Zeit									Aquarius99	environment	https://www.zeit.de/arbeit/2020-01/bauernprotest-agrarpolitik-biohof-existenzgruendung-landwirte		Zum Vergleich lohnt sich immer ein Blick in die öffenltiche Subventionsdatenbank	lecture	0.75	0,69	0.2	0,2	0,26	ml
1056		Zeit	confrontation								Cum Echse	environment	https://www.zeit.de/arbeit/2020-01/bauernprotest-agrarpolitik-biohof-existenzgruendung-landwirte		Vollste Zustimmung!	praise	0.2	0,96	0.08	0,05	0,3	ml
1057		Zeit	conclusion								Cum Echse	environment	https://www.zeit.de/arbeit/2020-01/bauernprotest-agrarpolitik-biohof-existenzgruendung-landwirte		Schön auf den Punkt gebracht!	praise	0.2	0,9	0.1	0,08	0,5	ml
1058		Zeit	confrontation								SilentBob.01	environment	https://www.zeit.de/arbeit/2020-01/bauernprotest-agrarpolitik-biohof-existenzgruendung-landwirte		Ja, das ist echt traurig.	concession	0.25	0,5	0.1	0,7	0,85	ml
1059		Zeit									Olmo68	environment	https://www.zeit.de/arbeit/2020-01/bauernprotest-agrarpolitik-biohof-existenzgruendung-landwirte		Da stimme ich Aquarius zu und zudem: wir entscheiden wo und was wir kaufen und konsumieren!	concession	0.14	0,68	0.1	0,09	0,89	ml
1060		achgut									oliver_hirse	media	https://www.achgut.com/artikel/grimme_preis_klatschvieh_fuer_die_oeffis		Es ist leider so wahr	concession	0.25	0,71	0.6	0,75	0,88	ml
1061											Jörg Staroske	media	https://www.achgut.com/artikel/grimme_preis_klatschvieh_fuer_die_oeffis		Auch die Kommentare der Leser geben mir Hoffnung, daß nicht die gesamte Nation dem Hirnfraß erlegen ist	praise	0.2	0,89	0.71	0,75	0,15	ml
1062											Jörg Staroske	media	https://www.achgut.com/artikel/grimme_preis_klatschvieh_fuer_die_oeffis		Sorgen bereitet mir dafür umso mehr wie ich meinen Kindern beibringen kann mit dem Überangebot an Informationen bedächtig und gewissenhaft umzugehen	concession	0.1	0,1	0.1	0,2	0,84	ml
1063											Marion Sönnichsen	media	https://www.achgut.com/artikel/grimme_preis_klatschvieh_fuer_die_oeffis		Würde heute wahrscheinlich zensiert.	insinuation	0.2	0,08	0.9	0,7	0,1	ml
1064											P.F. Hilker	media	https://www.achgut.com/artikel/grimme_preis_klatschvieh_fuer_die_oeffis		Ein guter Zustandsbericht	praise	0.1	0,93	0.08	0,08	0,34	ml
1065											Gerald Gründler	media	https://www.achgut.com/artikel/grimme_preis_klatschvieh_fuer_die_oeffis		Hochachtung, Herr Röhl, und zugleich mein Beileid	praise	0.1	0,94	0.08	0,15	0,73	ml
1066											elke popken	media	https://www.achgut.com/artikel/grimme_preis_klatschvieh_fuer_die_oeffis		Seht gut beobachtet Herr Röhl!	praise	0.1	0,94	0.08	0,07	0,3	ml
1067											Michael Hufnagel	politics	https://www.achgut.com/artikel/impeachment_ein_theaterstueck_fuer_zwoelf_ggoldene_stifte		The Donald is the man! Ich freue mich auf seine 2. Amtszeit und würde ihm meine Stimme geben, wenn ich könnte!	praise	0.18	0,93	0.08	0,1	0,18	ml
1068											Karla Kuhn	politics	https://www.achgut.com/artikel/impeachment_ein_theaterstueck_fuer_zwoelf_ggoldene_stifte		Je MEHR über Trump gehetzt wird, um so SYMPATHISCHER wird mir der Mann, vor allem auch weil er ein RICHTIGES MANNSBILD IST !	praise	0.23	0,93	0.23	0,4	0,78	ml
1069											Fritz kolb	politics	https://www.achgut.com/artikel/impeachment_ein_theaterstueck_fuer_zwoelf_ggoldene_stifte		Sie treffen wieder einmal den berühmten Nagel auf den Kopf, besser können die beiden amerikanischen und deutschen Führerinnen nicht beschrieben werden	praise	0.2	0,92	0.2	0,3	0,75	ml
1070											DH82	gender	https://www.zeit.de/campus/2020-01/sexismus-maenner-gleichberechtigung-frauen-linke-bildung		Wow! Toller Artikel!	praise	0.08	0,95	0.08	0,05	0,5	ml
1071											DH82	gender	https://www.zeit.de/campus/2020-01/sexismus-maenner-gleichberechtigung-frauen-linke-bildung		Habe beim lesen der Überschrift mit einem abgehobenen Feminismus gerechnet, aber die Argumente und Beispiele sind echt nachvollziehbar und lebensnah	concession	0.13	0,43	0.12	0,19	0,9	ml
1072											FUCHSBAU92	gender	https://www.zeit.de/campus/2020-01/sexismus-maenner-gleichberechtigung-frauen-linke-bildung		Einerseits muss ich zustimmen	concession	0.07	0,78	0.07	0,16	0,97	ml
1073											Rainbowbridge	economy	https://www.spiegel.de/panorama/gesellschaft/tesla-fabrik-in-brandenburg-anwohner-protestieren-gegen-werksbau-a-83fd6d17-cc86-4db2-84e1-1a2aee1966e0#kommentare		Wie auch in diesem Projekt, wird es immer Gegner bei Veränderungen geben	concession	0.68	0,22	0.63	0,56	0,84	ml
1074											Zugezogen	economy	https://www.spiegel.de/panorama/gesellschaft/tesla-fabrik-in-brandenburg-anwohner-protestieren-gegen-werksbau-a-83fd6d17-cc86-4db2-84e1-1a2aee1966e0#kommentare		Ich wohne in Grünheide und begrüße die mögliche Tesla-Ansiedlung!!!	praise	0.2	0,88	0.23	0,38	0,65	ml
1075											P.-Hn2D2NEWg	economy	https://www.spiegel.de/panorama/gesellschaft/tesla-fabrik-in-brandenburg-anwohner-protestieren-gegen-werksbau-a-83fd6d17-cc86-4db2-84e1-1a2aee1966e0#kommentare		Was für eine Chance für die Region!	praise	0.63	0,87	0.32	0,33	0,67	ml
1076											Daniel--_yJdKEZR	economy	https://www.spiegel.de/panorama/gesellschaft/tesla-fabrik-in-brandenburg-anwohner-protestieren-gegen-werksbau-a-83fd6d17-cc86-4db2-84e1-1a2aee1966e0#kommentare		Ich finde es grundsätzlich richtig, was Sie schreiben	concession	0.1	0,77	0.1	0,15	0,83	ml
1077											Dietmar-Afo5Y6PWR	economy	https://www.spiegel.de/panorama/gesellschaft/tesla-fabrik-in-brandenburg-anwohner-protestieren-gegen-werksbau-a-83fd6d17-cc86-4db2-84e1-1a2aee1966e0#kommentare		Eigentlich hätte ich hier mit etwas mehr Enthusiasmus gerechnet, wenn neue Arbeitsplätze geschaffen werden sollen	concession	0.24	0,1	0.3	0,62	0,83	ml
1078											Rainbowbridge	economy	https://www.spiegel.de/panorama/gesellschaft/tesla-fabrik-in-brandenburg-anwohner-protestieren-gegen-werksbau-a-83fd6d17-cc86-4db2-84e1-1a2aee1966e0#kommentare		Jede Gemeinde, jeder Ort, jedes Dorf würde für dieses Projekt kämpfen	concession	0.6	0,56	0.75	0,72	0,8	ml
1079											neonschwarz	economy	https://www.zeit.de/kultur/kunst/2020-01/lars-eidinger-aldi-tuete-guenter-fruhtrunk-armut-modedesign		Ich geh da mit dem Artikel.	concession	0.1	0,5	0.1	0,08	0,83	ml
1080											Gänsekiel	economy	https://www.zeit.de/kultur/kunst/2020-01/lars-eidinger-aldi-tuete-guenter-fruhtrunk-armut-modedesign		Den Gewinn aus dem Verkauf der Luxustaschen an die Obdachlodenhilfe spenden wäre eine gute Idee	praise	0.19	0,88	0.12	0,31	0,76	ml
1081											Trixi vom Storch	environment	https://www.zeit.de/2020/04/urs-niggli-biologische-landwirtschaft-rente-oekologie-gentechnik-pestizide/seite-3		Ein weit weniger auf Sturm gebürstetes Interview, als die Überschrift glauben lassen will.	praise	0.14	0,89	0.1	0,08	0,74	ml
1082											Trixi vom Storch	environment	https://www.zeit.de/2020/04/urs-niggli-biologische-landwirtschaft-rente-oekologie-gentechnik-pestizide/seite-3		Und deswegen hätte ich es fast nicht gelesen, was ein Verlust gewesen wäre	concession	0.08	0,66	0.07	0,1	0,88	ml
1083											Trixi vom Storch	environment	https://www.zeit.de/2020/04/urs-niggli-biologische-landwirtschaft-rente-oekologie-gentechnik-pestizide/seite-3		Interessante Denkimpluse, die in die komplette Debatte ausstrahlen	praise	0.09	0,91	0.08	0,08	0,84	ml
1084											Markus Alexander	environment	https://www.zeit.de/2020/04/urs-niggli-biologische-landwirtschaft-rente-oekologie-gentechnik-pestizide/seite-3		Bemerkenswert fand ich vor allem diese Stelle	concession	0.17	0,75	0.09	0,1	0,88	ml
1085											Markus Alexander	environment	https://www.zeit.de/2020/04/urs-niggli-biologische-landwirtschaft-rente-oekologie-gentechnik-pestizide/seite-3		Und das sagt ein Wissenschaftler des Forschungsinstituts für biologischen Landbau!	concession	0.54	0,45	0.12	0,1	0,85	ml
1086											Shismar	environment	https://www.zeit.de/2020/04/urs-niggli-biologische-landwirtschaft-rente-oekologie-gentechnik-pestizide/seite-3		Biobauern sind nicht per se Fortschrittsfeindlich, sie sind nur nicht Fortschrittsgläubig	praise	0.54	0,86	0.65	0,61	0,76	ml
1087											Shismar	environment	https://www.zeit.de/2020/04/urs-niggli-biologische-landwirtschaft-rente-oekologie-gentechnik-pestizide/seite-3		Die Roboter sind toll, die können das Unkraut sogar ausreißen	praise	0.23	0,85	0.1	0,1	0,74	ml
1088											Shismar	environment	https://www.zeit.de/2020/04/urs-niggli-biologische-landwirtschaft-rente-oekologie-gentechnik-pestizide/seite-3		Schwupp! Weg isses!	praise	0.1	0,87	0.09	0,08	0,5	ml
1089											hidrogenado	environment	https://www.zeit.de/2020/04/urs-niggli-biologische-landwirtschaft-rente-oekologie-gentechnik-pestizide/seite-3		Tofu wie Tofu zubereiten, dann ist das auch lecker	praise	0.65	0,84	0.2	0,2	0,5	ml
1090											Barbara123	politics	https://www.zeit.de/politik/deutschland/2020-01/langzeitarbeitslose-teilhabechancengesetz-arbeitsplatz-karriere-foerderung		Ich freue mich für jeden, der es raus schafft	concession	0.12	0,77	0.09	0,08	0,87	ml
1091											Barbara123	politics	https://www.zeit.de/politik/deutschland/2020-01/langzeitarbeitslose-teilhabechancengesetz-arbeitsplatz-karriere-foerderung		Danke Hubertus, danke SPD.	praise	0.07	0,93	0.07	0,06	0,76	ml
1092											Dr. Ole De These	politics	https://www.zeit.de/politik/deutschland/2020-01/langzeitarbeitslose-teilhabechancengesetz-arbeitsplatz-karriere-foerderung		Es ist erfreulich, dass Langzeitarbeitslose so wieder eine Arbeit finden	praise	0.13	0,88	0.07	0,07	0,77	ml
1093											Coca Cola statt Pepsi	politics	https://www.zeit.de/politik/deutschland/2020-01/langzeitarbeitslose-teilhabechancengesetz-arbeitsplatz-karriere-foerderung		Allerdings sieht man eben auch, dass Menschen so einen Job finden, den sie in der Tat sonst wohl nicht bekommen hätten	concession	0.17	0,5	0.1	0,2	0,88	ml
1094											Global Travler	politics	https://www.zeit.de/politik/deutschland/2020-01/langzeitarbeitslose-teilhabechancengesetz-arbeitsplatz-karriere-foerderung		Die Bewerber fühlen sich besser, wohler. Und das ist schön.	praise	0.11	0,9	0.08	0,07	0,78	ml
1095											Global Travler	politics	https://www.zeit.de/politik/deutschland/2020-01/langzeitarbeitslose-teilhabechancengesetz-arbeitsplatz-karriere-foerderung		Jedoch wird ein Lohn und damit die zu Grund liegende Tätigkeit subventioniert, damit ein Arbeitgeber diese Position besetzt.	dissence	0.64	0,1	0.64	0,82	0,58	ml
1096											fuerdiemitte	society	https://www.zeit.de/kultur/2020-01/saekularisierung-iran-islam-religion		Ein wünschenswerter Trend	praise	0.1	0,89	0.08	0,08	0,76	ml
1097											Irananreicherung im Uran	society	https://www.zeit.de/kultur/2020-01/saekularisierung-iran-islam-religion		Schwierig, welche Lehren man daraus ziehen soll	concession	0.22	0,1	0.14	0,69	0,83	ml
1098											EinerderganzgroßenTourenklassiker	society	https://www.zeit.de/kultur/2020-01/saekularisierung-iran-islam-religion		Das Beispiel Iran gibt Hoffnung	praise	0.1	0,9	0.1	0,08	0,77	ml
1099											lekythos 14	society	https://www.zeit.de/kultur/2020-01/saekularisierung-iran-islam-religion		Iran ist ein wunderbares kulturreiches Land und die Menschen haben es verdient endlich in Freiheit leben zu dürfen.	praise	0.13	0,89	0.12	0,14	0,7	ml
1100											Shibboleth	society	https://www.zeit.de/kultur/2020-01/saekularisierung-iran-islam-religion		Eine sehr gute Analyse und Beobachtung!	praise	0.07	0,94	0.07	0,05	0,74	ml
1101											sandor123	society	https://www.zeit.de/kultur/2020-01/saekularisierung-iran-islam-religion		Ein erfreulicher Trend im Iran	praise	0.08	0,9	0.08	0,09	0,68	ml
1102											Talano68	society	https://www.zeit.de/kultur/2020-01/saekularisierung-iran-islam-religion		Danke, der verlinkte Artikel Ist mit Abstand der Beste zum Thema Iran.	praise	0.1	0,9	0.1	0,1	0,7	ml
1103											Consul69	society	https://www.zeit.de/kultur/2020-01/saekularisierung-iran-islam-religion		Danke für diesen Artikel.	praise	0.07	0,95	0.07	0,06	0,5	ml
1104											Wilfried Düring	media	https://www.achgut.com/artikel/es_wird_weiter_relotiert_von_hakenkreuz_malenden_kindern_und_antifa_experte		Beim Spiegel köchelt schon der nächste Skandal	insinuation	0.14	0,08	0.84	0,64	0,06	ml
1105											Wilfried Düring	media	https://www.achgut.com/artikel/es_wird_weiter_relotiert_von_hakenkreuz_malenden_kindern_und_antifa_experte		Gestürzt wurden natürlich Leute, die einem rot-gruenen Kurs entgegenstanden!	insinuation	0.14	0,07	0.85	0,73	0,07	ml
1106											Gert Köppe	media	https://www.achgut.com/artikel/es_wird_weiter_relotiert_von_hakenkreuz_malenden_kindern_und_antifa_experte		Der Spiegel ist ein jämmerliches rotes Schmierblatt für Salon-Kommunisten	insinuation	0.14	0,05	0.89	0,75	0,05	ml
1107											Gert Köppe	media	https://www.achgut.com/artikel/es_wird_weiter_relotiert_von_hakenkreuz_malenden_kindern_und_antifa_experte		Es sieht eher so aus, als sind es die links-grün-verpeilten Eltern, die die Kinder zu solch einem Unsinn aufhetzen, um die Märchen des überall um sich greifenden rechten Gedankengutes aufrecht zu erhalten	insinuation	0.12	0,06	0.89	0,7	0,05	ml
1108											Gert Köppe	media	https://www.achgut.com/artikel/es_wird_weiter_relotiert_von_hakenkreuz_malenden_kindern_und_antifa_experte		Schließlich muss doch der “Kampf gegen Rechts” ständig neues Futter bekommen	insinuation	0.12	0,06	0.89	0,7	0,05	ml
1109											Gert Köppe	media	https://www.achgut.com/artikel/es_wird_weiter_relotiert_von_hakenkreuz_malenden_kindern_und_antifa_experte		So kann man von den eigenen Schandtaten bestens ablenken	insinuation	0.16	0,06	0.89	0,7	0,05	ml
1110											Gert Köppe	media	https://www.achgut.com/artikel/es_wird_weiter_relotiert_von_hakenkreuz_malenden_kindern_und_antifa_experte		Viel zu primitiv und durchschaubar	dissence	0.42	0,07	0.6	0,85	0,07	ml
1111											Gert Köppe	media	https://www.achgut.com/artikel/es_wird_weiter_relotiert_von_hakenkreuz_malenden_kindern_und_antifa_experte		Aber Kommunisten waren noch nie besonders “helle” im Kopf, deswegen sind sie auch regelmäßig gescheitert	insinuation	0.16	0,07	0.89	0,7	0,05	ml
1112											Gert Köppe	media	https://www.achgut.com/artikel/es_wird_weiter_relotiert_von_hakenkreuz_malenden_kindern_und_antifa_experte		Mir fällt auf, das viele Kommentatoren bereits das bescheuerte Gender-Geschreibsel benutzen. Warum?	dissence	0.25	0,06	0.67	0,87	0,06	ml
1113											Gert Köppe	media	https://www.achgut.com/artikel/es_wird_weiter_relotiert_von_hakenkreuz_malenden_kindern_und_antifa_experte		Dieser Gender-Quatsch gehört nun mal dazu	dissence	0.18	0,06	0.2	0,9	0,06	ml
1114											Gert Köppe	media	https://www.achgut.com/artikel/es_wird_weiter_relotiert_von_hakenkreuz_malenden_kindern_und_antifa_experte		Die Damenwelt möge es mir verzeihen	concession	0.2	0,07	0.78	0,4	0,82	ml
1115											N. Schneider	media	https://www.achgut.com/artikel/es_wird_weiter_relotiert_von_hakenkreuz_malenden_kindern_und_antifa_experte		Warum sollte der Spiegel sich Gedanken oder gar Sorgen um den Absatz seiner FakeNews- und Hetzjournaille machen?	insinuation	0.15	0,1	0.81	0,75	0,1	ml
1116											Karsten Mahnke	media	https://www.achgut.com/artikel/es_wird_weiter_relotiert_von_hakenkreuz_malenden_kindern_und_antifa_experte		Wenn man wissen will, was der politische Gegner denkt, muss man dieses Blatt schon lesen	concession	0.57	0,1	0.13	0,16	0,84	ml
1117											Karsten Mahnke	media	https://www.achgut.com/artikel/es_wird_weiter_relotiert_von_hakenkreuz_malenden_kindern_und_antifa_experte		Nur muss man solche aus den Fingern gesogene Pamphlete auch einordnen können.	lecture	0.86	0,1	0.56	0,54	0,76	ml
1118											Karsten Mahnke	media	https://www.achgut.com/artikel/es_wird_weiter_relotiert_von_hakenkreuz_malenden_kindern_und_antifa_experte		Ich bin den Autoren der Achse sehr dankbar für die Nennung von Ross und Reiter.	praise	0.1	0,9	0.08	0,1	0,5	ml
1119											Karsten Mahnke	media	https://www.achgut.com/artikel/es_wird_weiter_relotiert_von_hakenkreuz_malenden_kindern_und_antifa_experte		Nur dadurch lässt sich der ganze mediale Schlamassel noch überblicken.	praise	0.2	0,9	0.15	0,68	0,69	ml
1120											S. v. Belino	media	https://www.achgut.com/artikel/es_wird_weiter_relotiert_von_hakenkreuz_malenden_kindern_und_antifa_experte		Trotzdem kann man wohl mit einer Berechtigung sagen, dass die “mission” der beiden Spiegelautoren dennoch einigermaßen befriedigend “accomplished” wurde	concession	0.1	0,1	0.1	0,1	0,88	ml
1121											S. v. Belino	media	https://www.achgut.com/artikel/es_wird_weiter_relotiert_von_hakenkreuz_malenden_kindern_und_antifa_experte		So gut wie immer bleiben in der öffentlichen Wahrnehmung zumindest kleinste Reste der Verdächtigungen und Beschuldigungen an denen, die man diskreditieren wollte, hängen.	concession	0.2	0,08	0.83	0,7	0,86	ml
1122											Wilhelm Mueller	media	https://www.achgut.com/artikel/es_wird_weiter_relotiert_von_hakenkreuz_malenden_kindern_und_antifa_experte		Der Spiegelleser is wie er is.	insinuation	0.14	0,07	0.9	0,6	0,15	ml
1123											Wilhelm Mueller	media	https://www.achgut.com/artikel/es_wird_weiter_relotiert_von_hakenkreuz_malenden_kindern_und_antifa_experte		Manche Menschen sind von ihrer Erziehung und Entwicklung so konfiguriert, dass sie unbedingt das so lesen wollen, was der Spiegel so absondert.	insinuation	0.17	0,07	0.9	0,68	0,08	ml
1124											Wilhelm Mueller	media	https://www.achgut.com/artikel/es_wird_weiter_relotiert_von_hakenkreuz_malenden_kindern_und_antifa_experte		Die echte Power bei der Meinungsbildung haben die nicht mehr, zumal sich eigentlich fast nur noch intellektuelle Leichtmatrosen an Bord befinden.	insinuation	0.17	0,07	0.9	0,7	0,07	ml
1125											Wilhelm Mueller	media	https://www.achgut.com/artikel/es_wird_weiter_relotiert_von_hakenkreuz_malenden_kindern_und_antifa_experte		Hier können die Gesellschaftsdesigner sich bei üppiger Alimentation durch den Steuerzahler ganz auf ihr zerstörerisches Werk konzentrieren.	insinuation	0.16	0,06	0.91	0,71	0,07	ml
1126											Dr. E. wünnemann	media	https://www.achgut.com/artikel/es_wird_weiter_relotiert_von_hakenkreuz_malenden_kindern_und_antifa_experte		Sehr guter Artikel!	praise	0.3	0,95	0.18	0,33	0,1	ml
1127					person						OhneKommentar	legal	https://www.zeit.de/kultur/film/2020-01/annabella-sciorra-harvey-weinstein-prozess-vergewaltigung		Doch trotzdem hat sich diese Hauptbelastungszeugin vor der Verjährung nicht gewagt dies auszusagen	concession	0.17	0,1	0.43	0,22	0,82	ml
1128											Desaguliers	legal	https://www.zeit.de/kultur/film/2020-01/annabella-sciorra-harvey-weinstein-prozess-vergewaltigung		Ob Sie ihn für schuldig halten oder unsympathisch (kennen Sie ihn?) spielt überhaupt keine Geige.	lecture	0.9	0,1	0.16	0,71	0,14	ml
1129											Desaguliers	legal	https://www.zeit.de/kultur/film/2020-01/annabella-sciorra-harvey-weinstein-prozess-vergewaltigung		Nennt sich Unschuldsvermutung und ist ein Rechtsstaatsprinzip.	lecture	0.93	0,1	0.18	0,5	0,1	ml
1130											AJ-JA	legal	https://www.zeit.de/kultur/film/2020-01/annabella-sciorra-harvey-weinstein-prozess-vergewaltigung		Sie haben die Situation exakt geschildert	praise	0.1	0,92	0.07	0,07	0,67	ml
1131											AJ-JA	legal	https://www.zeit.de/kultur/film/2020-01/annabella-sciorra-harvey-weinstein-prozess-vergewaltigung		Und ja, wenn es diese gibt, dann sollte er entsprechend hart bestraft werden.	concession	0.14	0,1	0.1	0,09	0,88	ml
1132											BerlinSchaeferin	health	https://www.tagesspiegel.de/wissen/innerhalb-von-kurzer-zeit-warum-bei-stress-die-haare-grau-werden/25462098.html?utm_source=pocket-newtab		Ein interessanter Artikel	praise	0.07	0,92	0.06	0,06	0,82	ml
1133											BerlinSchaeferin	health	https://www.tagesspiegel.de/wissen/innerhalb-von-kurzer-zeit-warum-bei-stress-die-haare-grau-werden/25462098.html?utm_source=pocket-newtab		Besonders für mich, da ich schon vor dem 18 Lebensjahr die ersten grauen Haare hatte.	concession	0.05	0,7	0.05	0,08	0,89	ml
1134											AlfTusko	health	https://www.tagesspiegel.de/wissen/innerhalb-von-kurzer-zeit-warum-bei-stress-die-haare-grau-werden/25462098.html?utm_source=pocket-newtab		Auch die Untersuchung des Phänomens, trotz hohen Alters KEIN graues Haar zu bekommen, könnte zur Klärung der aufgeworfenen Frage beitragen	praise	0.31	0,83	0.1	0,1	0,78	ml
1135											Prenzlbaer	health	https://www.tagesspiegel.de/wissen/innerhalb-von-kurzer-zeit-warum-bei-stress-die-haare-grau-werden/25462098.html?utm_source=pocket-newtab		Sehr interessanter und gut geschriebener Wissenschafts-Artikel, davon wünsche ich mir mehr im Tagesspiegel!	praise	0.1	0,96	0.08	0,07	0,83	ml
1136											Gabriele Klein	politics	https://www.achgut.com/artikel/bundespraesident_in_yad_vashem_publicity_statt_schweigen		Ich schließe mich Ihnen an in der Scham.	concession	0.3	0,19	0.15	0,79	0,83	ml
1137											Karla Kuhn	politics	https://www.achgut.com/artikel/bundespraesident_in_yad_vashem_publicity_statt_schweigen		Auf alle Fälle scheinen Sie mehr Anstand als einige, etliche Politiker zu haben, wenn Sie sich für Steinmeier und diese Müller entschuldigen.	praise	0.56	0,88	0.58	0,58	0,81	ml
1138											Karla Kuhn	politics	https://www.achgut.com/artikel/bundespraesident_in_yad_vashem_publicity_statt_schweigen		ich kenne Sie nicht aber sie sind genauso wenig ein Niemand, wie alle anderen Menschen auf diesem Planeten	praise	0.59	0,85	0.1	0,54	0,54	ml
1139											reinhold schuster	politics	https://www.achgut.com/artikel/bundespraesident_in_yad_vashem_publicity_statt_schweigen		Unerträglich diese Menschen.	dissence	0.2	0,04	0.6	0,91	0,06	ml
1140											reinhold schuster	politics	https://www.achgut.com/artikel/bundespraesident_in_yad_vashem_publicity_statt_schweigen		Heuchler allesamt, vor allen die Linken Grüne und die Partei Die Linken	dissence	0.16	0,04	0.73	0,93	0,05	ml
1141											reinhold schuster	politics	https://www.achgut.com/artikel/bundespraesident_in_yad_vashem_publicity_statt_schweigen		Linke Partei-Stiftungen unterstützen Terror gegen Israel	insinuation	0.2	0,05	0.92	0,82	0,05	ml
1142											Ilona Grimm	politics	https://www.achgut.com/artikel/bundespraesident_in_yad_vashem_publicity_statt_schweigen		F.W. Steinmeier kennt keine Scham, er hat kein Benehmen und keine Skrupel.	insinuation	0.15	0,04	0.95	0,83	0,03	ml
1143											Ilona Grimm	politics	https://www.achgut.com/artikel/bundespraesident_in_yad_vashem_publicity_statt_schweigen		Er nutzt den Holocaust und Yad Vashem für seine niederträchtige ÖRR-PR-Show.	insinuation	0.19	0,06	0.93	0,85	0,03	ml
1144											Marc Blenk	politics	https://www.achgut.com/artikel/bundespraesident_in_yad_vashem_publicity_statt_schweigen		Herr Johannes Schuster, genau wie in ihrem Beitrag beschrieben, ist es. Danke	praise	0.2	0,9	0.3	0,23	0,84	ml
